Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Note,Size
1,"Unpolarized capacitor, small symbol",C_Small,C79,0 Res,C_0201_0603Metric_L,1,~,ERJ-1GN0R00C,,
2,"Unpolarized capacitor, small symbol",C_Small,C2 C5 C7 C10 C12 C15 C20 C23 C26 C30 C35 C37 C39 C40 C41 C43 C45 C46 C48 C50 C51 C53 C57 C58 C59 C61 C63 C65 C67 C68 C70 C72 C74,0.1uF,C_0201_0603Metric_L,33,~,CC0201KRX5R6BB104,,
3,"Unpolarized capacitor, small symbol",C_Small,C1 C6 C9 C13 C14 C18 C19 C24 C25 C29 C38 C42 C49 C54 C60 C64 C66 C69 C71,10nF,C_0201_0603Metric_L,19,~,CC0201KRX7R7BB103,,
4,"Unpolarized capacitor, small symbol",C_Small,C4 C22 C28 C32 C73 C75,10uF,C_0402_1005Metric_L,6,~,CC0402MRX5R5BB106,,
5,"Unpolarized capacitor, small symbol",C_Small,C55 C56,12pF,C_0201_0603Metric_L,2,~,CC0201JRNPO8BN120,,
6,"Unpolarized capacitor, small symbol",C_Small,C16 C21 C27 C31 C33 C34 C77 C78,1uF,C_0201_0603Metric_L,8,~,CC0201MRX5R5BB105,,
7,"Unpolarized capacitor, small symbol",C_Small,C36 C47 C52,2.2uF,C_0402_1005Metric_L,3,~,CC0402MRX5R6BB225,,
8,"Unpolarized capacitor, small symbol",C_Small,C44 C62 C76,22uF,C_0402_1005Metric_L,3,~,CL05A226MQ5N6J8,,
9,"Unpolarized capacitor, small symbol",C_Small,C3 C8 C11,4.7uF,C_0402_1005Metric_L,3,~,CC0402MRX5R6BB475,,
10,"Unpolarized capacitor, small symbol",C_Small,C17,47nF,C_0201_0603Metric_L,1,~,CC0201KRX5R5BB473,,
11,"Dual LED, cathodes on pins 3 and 4",LTST-C155GEKT,D1,LTST-C155GEKT,LED_4_P138_270X320X110L50X90N,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C155GEKT.pdf,LTST-C155GEKT,,
15,USB 3.0 A connector,USB3_A,J1,USB3_A,USB3_A_Plug_Wuerth_692112030100_Horizontal,1,~,6.92112E+11,,
17,FIXED IND 47UH 500MA 900 MOHM,ADL3225V-470MT-TL000,L11,ADL3225V-470MT-TL000,L_1210_3225Metric_L,1,https://product.tdk.com/info/en/catalog/datasheets/inductor_automotive_decoupling_adl3225v_en.pdf,ADL3225V-470MT-TL000,47uH,1210
18,FERRITE BEAD 470 OHM 0603 1LN,BLM18PG471SN1D,L1 L2 L3 L5 L6 L8 L9 L10,BLM18PG471SN1D,L_0603_1608Metric_L,8,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,BLM18PG471SN1D,470 Ohms @ 100MHz,603
19,"Inductor, small symbol",L_Small,L4 L7,BLM21PG221SN1D,L_0805_2012Metric,2,https://www.murata.com/en-us/products/en-us/products/productdata/8796738977822/ENFA0005.pdf,BLM21PG221SN1D,,
20,"Inductor, small symbol",L_Small,L12,LQM2HPN1R0MG0,L_1008_2520Metric_L,1,https://www.mouser.com/datasheet/2/281/JELF243B-0019-1634195.pdf,LQM2HPN1R0MG0,,
21,TRANS NPN 40V 0.2A DFN1006-3,MMBT3904LP-7B,Q1 Q2,MMBT3904LP-7B,TRXDFN3_101X61X53L25X15N,2,https://www.diodes.com/assets/Datasheets/ds31835.pdf,MMBT3904LP-7B,,
22,"Resistor, small US symbol",R_Small_US,R41 R42,0,R_0201_0603Metric_ERJ_L,2,~,ERJ-1GN0R00C,,
23,"Resistor, small US symbol",R_Small_US,R5 R8,0 1%,R_0201_0603Metric_ERJ_L,2,~,ERJ-1GN0R00C,,
24,"Resistor, small US symbol",R_Small_US,R1 R2 R3 R9 R14 R15 R29 R43,10K,R_0201_0603Metric_ERJ_L,8,~,ERJ-1GNF1002C,,
25,"Resistor, small US symbol",R_Small_US,R4 R6,10K 1%,R_0201_0603Metric_ERJ_L,2,~,ERJ-1GNF1002C,,
26,"Resistor, small US symbol",R_Small_US,R12,200 1%,R_0201_0603Metric_ERJ_L,1,~,ERJ-1GEF2000C,,
27,"Resistor, small US symbol",R_Small_US,R16 R17 R18 R19 R20 R21 R22 R23 R26 R27 R28 R33 R34 R35 R36 R37 R38 R39 R40,22,R_0201_0603Metric_ERJ_L,19,~,ERJ-1GNF22R0C,,
28,"Resistor, small US symbol",R_Small_US,R10 R11 R24 R25 R30 R31 R32,2k,R_0201_0603Metric_ERJ_L,7,~,ERJ-1GNF2001C,,
29,"Resistor, small US symbol",R_Small_US,R7,50,R_0201_0603Metric_ERJ_L,1,~,ERJ-1GNF49R9C,,
30,"Resistor, small US symbol",R_Small_US,R13,6.04K 1%,R_0201_0603Metric_ERJ_L,1,~,ERJ-1GNF6041C,,
31,EZ-USB® FX3:SuperSpeed USB Controller,CYUSB3014,U4,CYUSB3014,BGA121CP80_11X11_1000X1000X120B30,1,https://www.cypress.com/file/140296/download,CYUSB3014-BZXC,,
32,IC DESERIALIZER 12 BIT 48-VQFN,DS90UB934-Q1,U1,DS90UB934-Q1,QFN_49_P50_700X700X100L40X24T410N,1,http://www.ti.com/lit/ds/symlink/ds90ub934-q1.pdf,DS90UB914ATRHSJQ1,,
33,2-Mbit serial I²C bus EEPROM,M24M02-R,U5,M24M02-R,M24M02-R,1,https://www.st.com/content/ccc/resource/technical/document/datasheet/b7/de/9b/f6/03/28/4e/8e/CD00290537.pdf/files/CD00290537.pdf/jcr:content/translations/en.CD00290537.pdf,M24M02-DRCS6TP/K,,
34,USB Positive Overvoltage,NCP360,U2,NCP360,SON7P65_200X200X55L30X30T160X90L,1,https://www.onsemi.com/pub/Collateral/NCP360-D.PDF,NCP360MUTBG,,
35,,NCP690MN50T2G(5V),U7,NCP692MN18T2G,NCP692MN50T2G,1,https://www.onsemi.com/pub/Collateral/NCP690-D.PDF,NCP692MN18T2G,,
36,"2.5MHz, 1.5A Synchronous Step Down Regulator",SC189xULTRT,U6,SC189CULTRT,SON_7P50_200X200X57L35X24T170X80N,1,https://www.mouser.com/datasheet/2/761/sc189-1366204.pdf,SC189CULTRT,,
37,TVS Diode Array,SP3010-04UTG,U3,SP3010-04UTG,uDFN-10,1,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp3010_datasheet.pdf.pdf,SP3010-04UTG,,
38,2.5mm x 2mm,SMD_CRYSTAL,Y1,SMD_CRYSTAL,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,,CX2016DB19200H0FLJC2,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,38,,,,,,,,,
Component Count:,153,,,,,,,,,
Fitted Components:,153,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,153,,,,,,,,,
Schematic Version:,v0.1,,,,,,,,,
Schematic Date:,7/15/2020,,,,,,,,,
PCB Variant:,[u'default'],,,,,,,,,
BoM Date:,7/15/2020 22:13,,,,,,,,,
Schematic Source:,C:\Users\DBAharoni\Documents\Projects\MiniDAQ\KiCad\MiniDAQ.sch,,,,,,,,,
KiCad Version:,Eeschema (5.1.5)-3,,,,,,,,,
